Age;S59;S_w_ch59;cohab59;Marr_w_ch59;union_w_ch59;Div59;Div_w_ch59;S80;S_w_ch80;cohab80;Marr_w_ch80;union_w_ch80;Div80;Div_w_ch80
15;0.89;0;0;0.01;0.1;0;0;0.9;0;0;0;0.09;0;0
16;0.82;0;0;0.01;0.16;0;0.01;0.83;0;0;0;0.15;0;0.01
17;0.74;0.01;0;0.01;0.23;0;0.01;0.75;0.01;0;0;0.22;0;0.01
18;0.65;0.01;0.01;0.01;0.31;0;0.01;0.66;0.01;0.01;0;0.3;0;0.02
19;0.56;0.01;0.01;0.02;0.39;0;0.02;0.57;0.02;0.01;0.01;0.37;0;0.03
20;0.48;0.01;0.01;0.02;0.46;0;0.02;0.5;0.02;0.01;0.01;0.43;0;0.03
21;0.42;0.02;0.01;0.02;0.51;0;0.02;0.44;0.03;0.01;0.01;0.48;0;0.04
22;0.36;0.02;0.01;0.02;0.56;0;0.03;0.39;0.03;0.01;0.01;0.52;0;0.05
23;0.31;0.02;0.01;0.02;0.6;0;0.03;0.34;0.04;0.01;0.01;0.55;0;0.05
24;0.27;0.03;0.01;0.02;0.63;0;0.04;0.29;0.04;0.01;0.01;0.58;0;0.06
25;0.24;0.03;0.01;0.02;0.66;0;0.04;0.26;0.04;0.01;0.01;0.61;0;0.06
26;0.21;0.03;0.01;0.02;0.68;0;0.04;0.22;0.05;0.01;0.02;0.63;0;0.07
27;0.19;0.03;0.01;0.02;0.7;0;0.05;0.19;0.05;0.02;0.02;0.64;0;0.07
28;0.17;0.03;0.01;0.03;0.71;0;0.05;0.17;0.05;0.02;0.02;0.65;0.01;0.08
29;0.15;0.04;0.01;0.03;0.72;0;0.05;0.15;0.05;0.02;0.03;0.65;0.01;0.09
