# remaining life-expectancy over log-age, unknown population
logage,ex
3.912,31.41
3.931,30.52
3.951,29.63
3.970,28.74
3.988,27.86
4.007,26.98
4.025,26.11
4.043,25.25
4.060,24.40
4.077,23.56
4.094,22.71
4.110,21.88
4.127,21.06
4.143,20.24
4.158,19.44
4.174,18.64
4.189,17.86
4.204,17.08
4.219,16.31
4.234,15.56
4.248,14.84
4.262,14.12
4.276,13.42
4.290,12.73
4.304,12.06
4.317,11.41
4.330,10.78
4.343,10.16
4.356,9.56
4.369,8.98
4.382,8.42
4.394,7.88
4.406,7.36
4.418,6.87
4.430,6.41
4.442,5.96
4.454,5.54
4.465,5.14
4.477,4.77
4.488,4.43
4.499,4.11
